<file>
<4>{0}[  135.958267] Freezing remaining freezable tasks ... (elapsed 0.01 seconds) done.
<7>{0}[  135.976723] PM: Entering mem sleep
<7>{0}[  135.976824] power power.0: preparing suspend
<7>{0}[  135.976867] platform reg-dummy: preparing suspend
<7>{0}[  135.976949] s3c24xx-pwm s3c24xx-pwm.0: preparing suspend
<7>{0}[  135.976991] pwm-backlight pwm-backlight: preparing suspend
<7>{0}[  135.977032] wakeup_assist wakeup_assist.0: preparing suspend
<7>{0}[  135.977073] samsung-pd samsung-pd.0: preparing suspend
<7>{0}[  135.977113] samsung-pd samsung-pd.1: preparing suspend
<7>{0}[  135.977151] samsung-pd samsung-pd.2: preparing suspend
<7>{0}[  135.977191] samsung-pd samsung-pd.5: preparing suspend
<7>{0}[  135.977231] samsung-pd samsung-pd.4: preparing suspend
<7>{0}[  135.977270] samsung-pd samsung-pd.6: preparing suspend
<7>{0}[  135.977310] samsung-pd samsung-pd.7: preparing suspend
<7>{0}[  135.977349] samsung-pd samsung-pd.8: preparing suspend
<7>{0}[  135.977389] s3c-i2c s3c2440-i2c.0: preparing suspend
<7>{0}[  135.977429] s3c-i2c s3c2440-i2c.1: preparing suspend
<7>{0}[  135.977468] s3c-i2c s3c2440-i2c.3: preparing suspend
<7>{0}[  135.977507] s3c-i2c s3c2440-i2c.4: preparing suspend
<7>{0}[  135.977545] s3c-i2c s3c2440-i2c.5: preparing suspend
<7>{0}[  135.977584] s3c-i2c s3c2440-i2c.6: preparing suspend
<7>{0}[  135.977623] s3c-i2c s3c2440-i2c.7: preparing suspend
<7>{0}[  135.977663] i2c-gpio i2c-gpio.8: preparing suspend
<7>{0}[  135.977701] i2c-gpio i2c-gpio.9: preparing suspend
<7>{0}[  135.977740] i2c-gpio i2c-gpio.10: preparing suspend
<7>{0}[  135.977778] i2c-gpio i2c-gpio.11: preparing suspend
<7>{0}[  135.977816] i2c-gpio i2c-gpio.12: preparing suspend
<7>{0}[  135.977855] i2c-gpio i2c-gpio.13: preparing suspend
<7>{0}[  135.977895] gpio-keys gpio-keys.0: preparing suspend, may wakeup
<7>{0}[  135.977935] reg-fixed-voltage reg-fixed-voltage.0: preparing suspend
<7>{0}[  135.977976] reg-fixed-voltage reg-fixed-voltage.1: preparing suspend
<7>{0}[  135.978016] reg-fixed-voltage reg-fixed-voltage.2: preparing suspend
<7>{0}[  135.978057] reg-fixed-voltage reg-fixed-voltage.3: preparing suspend
<7>{0}[  135.978097] reg-fixed-voltage reg-fixed-voltage.4: preparing suspend
<7>{0}[  135.978137] reg-fixed-voltage reg-fixed-voltage.5: preparing suspend
<7>{0}[  135.978178] reg-fixed-voltage reg-fixed-voltage.6: preparing suspend
<7>{0}[  135.978218] reg-fixed-voltage reg-fixed-voltage.7: preparing suspend
<7>{0}[  135.978258] reg-fixed-voltage reg-fixed-voltage.8: preparing suspend
<7>{0}[  135.978298] reg-fixed-voltage reg-fixed-voltage.9: preparing suspend
<7>{0}[  135.978339] reg-fixed-voltage reg-fixed-voltage.10: preparing suspend
<7>{0}[  135.978379] s3cfb s3cfb.0: preparing suspend
<7>{0}[  135.978419] s5p-mipi-dsim s5p-mipi-dsim.0: preparing suspend
<7>{0}[  135.978460] dw_mmc dw_mmc: preparing suspend
<7>{0}[  135.978499] samsung-i2s samsung-i2s.0: preparing suspend
<7>{0}[  135.978539] samsung-pcm samsung-pcm.1: preparing suspend
<7>{0}[  135.978579] samsung-audio samsung-audio: preparing suspend
<7>{0}[  135.978618] platform samsung-audio-idma: preparing suspend
<7>{0}[  135.978657] mx-audio mx-audio: preparing suspend
<7>{0}[  135.978697] samsung-spdif samsung-spdif: preparing suspend
<7>{0}[  135.978736] mx-spdif mx-spdif: preparing suspend
<7>{0}[  135.978775] s5p-tvout s5p-tvout: preparing suspend
<7>{0}[  135.978814] platform s5p-tvout-cec: preparing suspend
<7>{0}[  135.978853] s5p-tvout-hpd s5p-tvout-hpd: preparing suspend
<7>{0}[  135.978893] s3c-fimc s3c-fimc.0: preparing suspend
<7>{0}[  135.978933] s3c-fimc s3c-fimc.1: preparing suspend
<7>{0}[  135.978972] s3c-fimc s3c-fimc.2: preparing suspend
<7>{0}[  135.979010] s3c-fimc s3c-fimc.3: preparing suspend
<7>{0}[  135.979049] s3c-mfc s3c-mfc: preparing suspend
<7>{0}[  135.979088] platform s5p-mfc-l: preparing suspend
<7>{0}[  135.979127] platform s5p-mfc-r: preparing suspend
<7>{0}[  135.979166] s3c-csis s3c-csis.0: preparing suspend
<7>{0}[  135.979205] s3c2410-wdt s3c2410-wdt: preparing suspend
<7>{0}[  135.979243] platform s3c64xx-rtc: preparing suspend
<7>{0}[  135.979282] xmm_modem xmm_modem: preparing suspend, may wakeup
<7>{0}[  135.979323] s3c-usbgadget s3c-usbgadget: preparing suspend
<7>{0}[  135.979363] s5p-fimg2d s5p-fimg2d: preparing suspend
<7>{0}[  135.979403] exynos-sysmmu exynos-sysmmu.15: preparing suspend
<7>{0}[  135.979443] usb_detect usb_detect: preparing suspend
<7>{0}[  135.979483] s3c-adc exynos4412-adc: preparing suspend
<7>{0}[  135.979522] s3c-hwmon s3c-hwmon: preparing suspend
<7>{0}[  135.979561] ublox-gps ublox-gps: preparing suspend
<7>{0}[  135.979600] s5p-jpeg m03x-jpeg: preparing suspend
<7>{0}[  135.979640] switch-gpio switch-gpio: preparing suspend
<7>{0}[  135.979679] bt_ctr bt_ctr: preparing suspend, may wakeup
<7>{0}[  135.979719] exynos-cpufreq exynos4412-cpufreq: preparing suspend
<7>{0}[  135.979760] exynos4-ppmu exynos4-ppmu.4: preparing suspend
<7>{0}[  135.979800] exynos4-ppmu exynos4-ppmu.5: preparing suspend
<7>{0}[  135.979839] exynos4-ppmu exynos4-ppmu.3: preparing suspend
<7>{0}[  135.979879] exynos-busfreq exynos-busfreq: preparing suspend
<7>{0}[  135.979919] exynos4-tmu exynos4x12-tmu: preparing suspend
<7>{0}[  135.979958] s3c24xx-pwm s3c24xx-pwm.1: preparing suspend
<7>{0}[  135.979998] s5p-rotator s5p-rotator: preparing suspend
<7>{0}[  135.980102] m03x-battery m03x-battery: preparing suspend
<7>{0}[  135.980146] ram_console ram_console: preparing suspend
<7>{0}[  135.980187] logger logger: preparing suspend
<7>{0}[  135.980226] s3c-pl330 s3c-pl330.0: preparing suspend
<7>{0}[  135.980266] s3c-pl330 s3c-pl330.1: preparing suspend
<7>{0}[  135.980306] s3c-pl330 s3c-pl330.2: preparing suspend
<7>{0}[  135.980345] arm-pmu arm-pmu.0: preparing suspend
<7>{0}[  135.980385] s5pv210-uart s5pv210-uart.0: preparing suspend
<7>{0}[  135.980425] s5pv210-uart s5pv210-uart.1: preparing suspend
<7>{0}[  135.980464] s5pv210-uart s5pv210-uart.2: preparing suspend
<7>{0}[  135.980504] s5pv210-uart s5pv210-uart.3: preparing suspend
<7>{0}[  135.980809] i2c i2c-8: preparing suspend
<7>{0}[  135.980848] s5p_mhl 8-003b: preparing suspend
<7>{0}[  135.980887] s5p_mhl 8-003f: preparing suspend
<7>{0}[  135.980925] s5p_mhl 8-004b: preparing suspend
<7>{0}[  135.980964] s5p_mhl 8-0066: preparing suspend
<7>{0}[  135.981003] i2c i2c-9: preparing suspend
<7>{0}[  135.981042] lis3dh 9-0019: preparing suspend
<7>{0}[  135.981080] i2c i2c-10: preparing suspend
<7>{0}[  135.981119] akm8975 10-000c: preparing suspend
<7>{0}[  135.981157] i2c i2c-11: preparing suspend
<7>{0}[  135.981197] l3g4200d 11-0069: preparing suspend
<7>{0}[  135.981235] i2c i2c-12: preparing suspend
<7>{0}[  135.981274] gp2ap020a00f 12-0039: preparing suspend
<7>{0}[  135.981313] i2c i2c-13: preparing suspend
<7>{0}[  135.981352] bu26507-led 13-0074: preparing suspend
<7>{0}[  135.981391] bu26507-led bu26507-led.0: preparing suspend
<7>{0}[  135.981431] bu26507-led bu26507-led.1: preparing suspend
<7>{0}[  135.981471] bu26507-led bu26507-led.2: preparing suspend
<7>{0}[  135.981511] bu26507-led bu26507-led.3: preparing suspend
<7>{0}[  135.981550] bu26507-led bu26507-led.4: preparing suspend
<7>{0}[  135.981590] bu26507-led bu26507-led.5: preparing suspend
<7>{0}[  135.981630] bu26507-led bu26507-led.6: preparing suspend
<7>{0}[  135.981670] bu26507-led bu26507-led.7: preparing suspend
<7>{0}[  135.981710] bu26507-led bu26507-led.8: preparing suspend
<7>{0}[  135.981750] bu26507-led bu26507-led.9: preparing suspend
<7>{0}[  135.981790] bu26507-led bu26507-pwm: preparing suspend
<7>{0}[  135.981830] bu26507-led bu26507-slope: preparing suspend
<7>{0}[  135.981870] i2c i2c-0: preparing suspend
<7>{0}[  135.981908] wm8994 0-001a: preparing suspend
<7>{0}[  135.981946] a1028_soc 0-003e: preparing suspend
<7>{0}[  135.981985] i2c i2c-1: preparing suspend
<7>{0}[  135.982023] s5p_ddc 1-003a: preparing suspend
<7>{0}[  135.982062] i2c i2c-3: preparing suspend
<7>{0}[  135.982101] max77686 3-0009: preparing suspend, may wakeup
<7>{0}[  135.982142] dummy 3-0006: preparing suspend
<7>{0}[  135.982180] max77686-pmic max77686-pmic: preparing suspend
<7>{0}[  135.982944] max77686-rtc max77686-rtc: preparing suspend, may wakeup
<7>{0}[  135.982985] i2c i2c-4: preparing suspend
<7>{0}[  135.983024] max77665 4-0066: preparing suspend, may wakeup
<7>{0}[  135.983064] dummy 4-0048: preparing suspend
<7>{0}[  135.983103] platform max77665-pmic: preparing suspend
<7>{0}[  135.983143] max77665-charger max77665-charger: preparing suspend
<7>{0}[  135.983185] max77665-haptic max77665-haptic: preparing suspend
<7>{0}[  135.983225] torch-led torch-led: preparing suspend
<7>{0}[  135.983265] max77665-safeout max77665-safeout: preparing suspend
<7>{0}[  135.983427] i2c i2c-5: preparing suspend
<7>{0}[  135.983466] bq27541 5-0055: preparing suspend, may wakeup
<7>{0}[  135.983505] i2c i2c-6: preparing suspend
<7>{0}[  135.983543] atmel_mxt_ts 6-004a: preparing suspend
<7>{0}[  135.983581] i2c i2c-7: preparing suspend
<7>{0}[  135.983620] M6MO 7-001f: preparing suspend
<7>{0}[  135.983658] ov7690 7-0021: preparing suspend
<7>{0}[  135.985414] input input0: preparing type suspend
<7>{0}[  135.985476] s3c-sdhci s3c-sdhci.3: preparing suspend
<7>{0}[  135.985517] bcm4329_wlan bcm4329_wlan: preparing suspend
<7>{0}[  135.985879] mali_dev mali_dev.0: preparing suspend
<7>{0}[  135.986901] input input1: preparing type suspend
<7>{0}[  135.986962] input input2: preparing type suspend
<7>{0}[  135.987021] input input3: preparing type suspend
<7>{0}[  135.987101] input input4: preparing type suspend
<7>{0}[  135.987141] wm8994-ldo wm8994-ldo.0: preparing suspend
<7>{0}[  135.987202] wm8994-ldo wm8994-ldo.1: preparing suspend
<7>{0}[  135.987263] wm8994-codec wm8994-codec: preparing suspend
<7>{0}[  135.987303] platform wm8994-gpio: preparing suspend
<7>{0}[  135.987364] s5p-ehci s5p-ehci: preparing suspend
<7>{0}[  135.987841] input input5: preparing type suspend
<7>{0}[  135.987901] input input6: preparing type suspend
<7>{0}[  135.987961] input input7: preparing type suspend
<7>{0}[  135.988102] alarm alarm: preparing suspend
<7>{0}[  135.989223] snd-soc-dummy snd-soc-dummy: preparing suspend
<7>{0}[  135.989264] samsung-i2s samsung-i2s.4: preparing suspend
<7>{0}[  135.989304] soc-audio soc-audio.0: preparing suspend
<7>{0}[  135.989504] spdif-dit spdif-dit: preparing suspend
<7>{0}[  135.989543] soc-audio soc-audio.1: preparing suspend
<7>{0}[  135.989584] mmcblk mmc0:0001: preparing suspend
<7>{0}[  135.990527] input input8: preparing type suspend
<7>{0}[  135.990591] usb usb1: preparing type suspend, may wakeup
<7>{0}[  135.990713] usb 1-2: preparing type suspend
<7>{0}[  135.993870] usb 1-2: type suspend
<7>{0}[  135.994341] usb usb1: type suspend, may wakeup
<7>{0}[  135.994452] input input8: type suspend
<7>{0}[  135.995847] mmcblk mmc0:0001: suspend
<7>{0}[  135.995976] soc-audio soc-audio.1: suspend
<7>{0}[  135.997722] spdif-dit spdif-dit: suspend
<7>{0}[  135.998032] soc-audio soc-audio.0: suspend
<6>{0}[  136.075418] A1028: set a1028 into Suspend mode
